Designator,Mid X,Mid Y,Rotation,Layer
C1,187.706,-96.52,0.0,top
C10,198.802,-70.282,0.0,top
C100,110.3743,-81.0235,90.0,top
C101,110.6283,-78.2295,0.0,top
C102,106.0563,-76.4515,90.0,top
C103,103.2623,-76.4515,90.0,top
C104,118.32635,-83.8175,180.0,top
C105,118.32635,-87.1195,180.0,top
C106,132.62635,-87.1195,0.0,top
C107,132.62635,-83.8175,0.0,top
C108,131.10235,-81.0235,90.0,top
C109,131.35635,-78.2295,0.0,top
C11,183.3226,-65.8904,90.0,top
C110,126.78435,-76.4515,90.0,top
C111,123.99035,-76.4515,90.0,top
C112,139.068495,-83.8175,180.0,top
C113,139.068495,-87.1195,180.0,top
C114,153.368495,-87.1195,0.0,top
C115,153.368495,-83.8175,0.0,top
C116,151.844495,-81.0235,90.0,top
C117,152.098495,-78.2295,0.0,top
C118,147.526495,-76.4515,90.0,top
C119,144.732495,-76.4515,90.0,top
C12,193.722,-64.186,0.0,top
C120,159.169,-83.82,180.0,top
C121,159.169,-87.122,180.0,top
C122,173.469,-87.122,0.0,top
C123,173.469,-83.82,0.0,top
C124,171.945,-81.026,90.0,top
C125,172.199,-78.232,0.0,top
C126,167.627,-76.454,90.0,top
C127,164.833,-76.454,90.0,top
C128,114.870644,-93.520196,270.0,top
C129,156.2862,-49.4792,90.0,top
C13,203.708,-65.786,0.0,top
C130,94.488,-49.53,90.0,top
C131,135.698644,-93.520196,270.0,top
C132,135.5852,-49.4382,90.0,top
C133,53.34,-49.762,90.0,top
C134,52.01975,-93.730196,270.0,top
C135,93.92975,-93.730196,270.0,top
C136,175.97175,-93.498196,270.0,top
C137,72.59375,-93.730196,270.0,top
C138,156.272644,-93.520196,270.0,top
C139,176.022,-49.276,90.0,top
C14,205.232,-69.342,180.0,top
C140,114.8334,-49.4792,90.0,top
C141,73.406,-49.53,90.0,top
C15,205.232,-80.01,0.0,top
C16,49.481349,-59.342398,0.0,top
C17,49.481349,-56.040398,0.0,top
C18,35.181349,-56.040398,180.0,top
C19,35.181349,-59.342398,180.0,top
C2,201.7268,-49.8446,270.0,top
C20,36.705349,-62.136398,270.0,top
C21,36.451349,-64.930398,180.0,top
C22,38.862,-66.708398,270.0,top
C23,45.2374,-66.708398,270.0,top
C24,111.634447,-59.3217,0.0,top
C25,111.634447,-56.0197,0.0,top
C26,97.334447,-56.0197,180.0,top
C27,97.334447,-59.3217,180.0,top
C28,98.858447,-62.1157,270.0,top
C29,98.604447,-64.9097,180.0,top
C3,184.15,-49.022,90.0,top
C30,103.176447,-66.6877,270.0,top
C31,105.970447,-66.6877,270.0,top
C32,173.034298,-59.192095,0.0,top
C33,173.034298,-55.890095,0.0,top
C34,158.734298,-55.890095,180.0,top
C35,158.734298,-59.192095,180.0,top
C36,160.258298,-61.986095,270.0,top
C37,160.004298,-64.780095,180.0,top
C38,164.576298,-66.558095,270.0,top
C39,167.370298,-66.558095,270.0,top
C4,199.368,-57.658,0.0,top
C40,153.088345,-59.3217,0.0,top
C41,153.088345,-56.0197,0.0,top
C42,138.788345,-56.0197,180.0,top
C43,138.788345,-59.3217,180.0,top
C44,140.312345,-62.1157,270.0,top
C45,140.058345,-64.9097,180.0,top
C46,144.630345,-66.6877,270.0,top
C47,147.424345,-66.6877,270.0,top
C48,70.208298,-59.342398,0.0,top
C49,70.208298,-56.040398,0.0,top
C5,194.056,-94.996,180.0,top
C50,55.908298,-56.040398,180.0,top
C51,55.908298,-59.342398,180.0,top
C52,57.432298,-62.136398,270.0,top
C53,57.178298,-64.930398,180.0,top
C54,61.750298,-66.708398,270.0,top
C55,64.544298,-66.708398,270.0,top
C56,90.935247,-59.342398,0.0,top
C57,90.935247,-56.040398,0.0,top
C58,76.635247,-56.040398,180.0,top
C59,76.635247,-59.342398,180.0,top
C6,198.789,-66.0174,0.0,top
C60,78.159247,-62.136398,270.0,top
C61,77.905247,-64.930398,180.0,top
C62,82.477247,-66.708398,270.0,top
C63,85.271247,-66.708398,270.0,top
C64,132.361396,-59.305701,0.0,top
C65,132.361396,-56.003701,0.0,top
C66,118.061396,-56.003701,180.0,top
C67,118.061396,-59.305701,180.0,top
C68,119.585396,-62.099701,270.0,top
C69,119.331396,-64.893701,180.0,top
C7,197.278,-78.918,0.0,top
C70,123.903396,-66.671701,270.0,top
C71,126.697396,-66.671701,270.0,top
C72,34.5932,-83.838198,180.0,top
C73,34.5932,-87.140198,180.0,top
C74,48.8932,-87.140198,0.0,top
C75,48.8932,-83.838198,0.0,top
C76,47.3692,-81.044198,90.0,top
C77,47.6232,-78.250198,0.0,top
C78,43.0512,-76.472198,90.0,top
C79,40.2572,-76.472198,90.0,top
C8,195.326,-81.699,270.0,top
C80,55.320149,-83.838198,180.0,top
C81,55.320149,-87.140198,180.0,top
C82,69.620149,-87.140198,0.0,top
C83,69.620149,-83.838198,0.0,top
C84,68.096149,-81.044198,90.0,top
C85,68.350149,-78.250198,0.0,top
C86,63.778149,-76.472198,90.0,top
C87,60.984149,-76.472198,90.0,top
C88,76.047098,-83.838198,180.0,top
C89,76.047098,-87.140198,180.0,top
C9,181.9256,-78.8444,180.0,top
C90,90.347098,-87.140198,0.0,top
C91,90.347098,-83.838198,0.0,top
C92,88.823098,-81.044198,90.0,top
C93,89.077098,-78.250198,0.0,top
C94,84.505098,-76.472198,90.0,top
C95,81.711098,-76.472198,90.0,top
C96,97.5983,-83.8175,180.0,top
C97,97.5983,-87.1195,180.0,top
C98,111.8983,-87.1195,0.0,top
C99,111.8983,-83.8175,0.0,top
D1,211.3534,-55.1711,90.0,top
D2,207.264,-55.1965,90.0,top
D3,186.2582,-86.6394,180.0,top
J1,213.614,-68.326,180.0,top
J10,104.550747,-44.083701,270.0,top
J11,83.861547,-48.604399,0.0,top
J12,125.277696,-44.067702,270.0,top
J13,83.120798,-94.576197,180.0,top
J14,146.004645,-44.083701,270.0,top
J15,104.560747,-48.583701,0.0,top
J16,165.950598,-43.954096,270.0,top
J17,104.672,-94.555499,180.0,top
J18,41.6769,-99.076197,90.0,top
J19,125.287696,-48.567702,0.0,top
J2,208.026,-90.678,90.0,top
J20,62.403849,-99.076197,90.0,top
J21,125.40005,-94.555499,180.0,top
J22,213.614,-82.047,180.0,top
J23,83.130798,-99.076197,90.0,top
J24,104.682,-99.055499,90.0,top
J25,125.41005,-99.055499,90.0,top
J26,146.014645,-48.583701,0.0,top
J27,146.152195,-99.055499,90.0,top
J28,146.142195,-94.555499,180.0,top
J29,166.2527,-99.057999,90.0,top
J3,42.407649,-48.604399,0.0,top
J30,165.960598,-48.454096,0.0,top
J32,166.2427,-94.557999,180.0,top
J4,42.397649,-44.104399,270.0,top
J5,41.6669,-94.576197,180.0,top
J6,63.124598,-44.104399,270.0,top
J7,63.134598,-48.604399,0.0,top
J8,83.851547,-44.104399,270.0,top
J9,62.393849,-94.576197,180.0,top
R1,211.4019,-51.3611,270.0,top
R10,168.894298,-54.5338,0.0,top
R11,143.0635,-54.5084,180.0,top
R12,148.948345,-54.5338,0.0,top
R13,60.2127,-54.5084,180.0,top
R14,66.068298,-54.5338,0.0,top
R15,80.9244,-54.5084,180.0,top
R16,86.795247,-54.5338,0.0,top
R17,122.3919,-54.5084,180.0,top
R18,128.221396,-54.5338,0.0,top
