Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C101, C103, C106, C107, C109, C11, C111, C114, C115, C117, C119, C12, C122, C123, C125, C127, C13, C18, C19, C21, C23, C26, C27, C29, C31, C34, C35, C37, C39, C42, C43, C45, C47, C5, C50, C51, C53, C55, C58, C59, C61, C63, C66, C67, C69, C7, C71, C74, C75, C77, C79, C8, C82, C83, C85, C87, C9, C90, C91, C93, C95, C98, C99",0603,65,0.1u 50V,C14663
"C100, C108, C116, C124, C20, C28, C36, C44, C52, C60, C68, C76, C84, C92",0603,14,22n 50V,C21122
"C102, C110, C118, C126, C22, C30, C38, C46, C54, C6, C62, C70, C78, C86, C94",0603,15,4.7u 10v,C19666
"C104, C105, C112, C113, C120, C121, C16, C17, C24, C25, C32, C33, C40, C41, C48, C49, C56, C57, C64, C65, C72, C73, C80, C81, C88, C89, C96, C97",0603,28,10u 35V,C96446
"C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C2",CP_Elec_5x5.4,15,47u,C4747958
"C14, C15",0603,2,30pf,C1658
C3,CP_Elec_6.3x4.9,1,100u,C22395169
C4,CP_Elec_4x5.7,1,10u,C5155338
D1,0603,1,12v PWR LED,C5179611
D2,0603,1,3.3v PWR LED,C5355429
D3,0603,1,STATUS LED,C19171301
"J1, J22",PinHeader_1x02_P2.54mm_Vertical,2,Screw_Terminal_01x02,
"J10, J12, J14, J16, J18, J20, J23, J24, J25, J27, J29, J4, J6, J8",PinHeader_1x04_P2.54mm_Vertical,14,Conn_01x04_Pin,
"J11, J13, J15, J17, J19, J21, J26, J28, J3, J30, J32, J5, J7, J9",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,14,Conn_01x04_Pin,C131334
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
R1,0603,1,2k,C22975
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R5, R6, R7, R8, R9",1206,28,0R11,C309533
"R2, R4",0603,2,500,C23193
R3,0603,1,10k,C25804
"R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46",0603,14,R,
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RESET,C2689642
TP1,TestPoint_Pad_D2.0mm,1,BOOT0 TP,
TP16,TestPoint_Pad_D2.0mm,1,MS1,
TP2,TestPoint_Pad_D2.0mm,1,MS2,
TP30,TestPoint_Pad_D2.0mm,1,DIAG,
TP44,TestPoint_Pad_D2.0mm,1,UART,
TP58,TestPoint_Pad_D2.0mm,1,INDEX,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C5250992
"U10, U11, U12, U13, U14, U15, U16, U17, U4, U5, U6, U7, U8, U9",QFN28_5X5_TRI,14,TMC2209,C465949
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,C191417
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F103R8Tx,C46034
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,Crystal,C115962
